"KEGG"	"ED10"	"EN17"	"EN20"	"EOI15"	"EOI20"	"EOK10"	"EU8"	"LOK10"
"K00001"	399.467	250.715	84.192	387.438	249.787	141.174	229.16	295.382
"K00002"	6.2	16.345	6.173	21.208	16.722	9.64	13.18	11.499
"K00003"	345.919	217.156	49.456	260.56	164.21	111.589	185.833	153.376
"K00004"	23.069	10.909	3.34	16.864	14.088	4.758	11.971	23.499
"K00005"	4.003	9.35	2.681	7.78	11.798	5.741	8.606	11.805
"K00007"	37.184	5.402	1.021	0	0.428	3.502	10.628	0
"K00008"	105.46	97.214	29.568	225.205	113.493	54.302	84.473	117.076
"K00009"	2.966	6.53	3.999	16.806	8.008	4.16	6	1.46
"K00010"	408.262	150.95	58.098	317.054	175.668	132.462	178.908	219.833
"K00011"	32.184	9.563	2.059	1.577	2.428	8.727	8.208	9.155
"K00012"	319.158	248.083	67.875	280.554	239.049	165.387	274.892	224.042
"K00013"	296.49	208.739	53.081	222.809	169.791	118.1	203.291	146.878
"K00014"	320.615	208.754	49.701	223.996	139.996	108.125	183.408	147.566
"K00015"	131.983	49.188	10.767	57.994	42.313	29.614	54.523	89.94
"K00016"	36.587	18.797	10.743	24.348	13.497	13.292	17.19	26.89
"K00018"	27.816	75.542	15.737	89.403	56.809	34.538	57.704	39.542
"K00019"	182.478	48.274	16.025	31.669	36.017	42.417	69.093	64.727
"K00020"	312.345	125.263	27.208	121.088	105.973	82.748	148.598	173.706
"K00021"	18.245	17.499	5.144	34.921	36.387	18.008	28.876	64.866
"K00022"	0.896	0.144	0.112	0.24	0.726	0.625	0.616	1.359
"K00023"	166.37	43.643	9.466	42.876	29.071	44.769	65.044	43.168
"K00024"	316.142	204.167	48.348	232.451	175.792	131.229	208.424	196.397
"K00027"	124.96	79.608	27.226	71.867	50.414	42.225	57.138	67.712
"K00029"	524.533	275.155	64.944	228.506	211.558	197.912	344.241	197.104
"K00030"	86.546	26.211	7.596	30.288	23.662	22.199	28.396	56.015
"K00031"	448.224	382.547	95.58	429.553	362.795	242.999	410.11	298.949
"K00032"	0.514	0.128	0.115	0.356	0.067	0.127	0.089	0.184
"K00033"	275.756	144.596	32.954	241.262	161.43	113.827	171.539	138.291
"K00034"	87.509	19.381	4.61	15.546	15.366	16.191	28.143	36.204
"K00035"	28.317	9.987	4.03	4.77	6.441	9.648	7.602	1.052
"K00036"	388.51	187.759	41.792	230.393	160.751	124.689	197.646	167.024
"K00038"	33.886	11.04	2.756	8.273	14.239	6.751	14.744	46.242
"K00039"	32.659	5.242	1.727	4.906	2.081	2.257	5.891	2.41
"K00040"	50.728	13.902	3.326	2.816	6.337	5.845	12.191	4.812
