OTU	ED10_S_Wi2013	EN17_S_Wi2013	EN20_S_Wi2013	EOI15_S_Wi2013	EOI20_S_Wi2013	EOK10_S_Wi2013	EOK20_S_Wi2013_PS	EU08_S_Wi2013	LD10_S_Wi2013_PS_A	LN20_S_Wi2013_PS	LOK10_S_Wi2013	EN15_S_Wi2013	EN30_S_Wi2013	EB10_S_Wi2013
SWARM_1259	0	0	0	0	0	0	0	0	0	45	25	0	1	1
SWARM_1253	5	8	31	0	3	26	0	11	0	0	0	0	0	0
SWARM_1251	8	14	8	1	3	5	3	5	0	0	0	8	2	2
SWARM_1257	0	0	0	0	0	0	0	0	91	0	3	0	0	0
SWARM_1255	0	0	0	0	0	0	0	0	2	54	9	0	1	6
SWARM_4153	0	0	18	0	0	2	5	0	0	0	0	0	0	0
SWARM_4746	2	0	0	0	0	1	0	0	0	0	0	1	0	17
SWARM_1928	0	0	0	0	1	0	0	0	37	0	38	0	1	0
SWARM_5209	0	12	39	2	9	6	0	8	0	0	0	0	0	1
SWARM_5206	0	0	0	0	0	0	5	0	0	0	0	0	0	27
SWARM_5200	0	0	0	0	0	0	22	0	0	1	0	0	0	1
SWARM_14173	0	0	0	0	0	0	4	0	0	0	0	0	0	1
SWARM_14172	0	0	0	0	0	0	5	0	0	0	0	0	0	0
SWARM_14177	0	0	0	0	0	0	5	0	0	0	0	0	0	0
SWARM_14175	0	0	0	0	0	0	7	0	0	0	0	0	0	0
SWARM_14174	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SWARM_12221	0	0	0	0	0	0	0	0	0	0	0	6	0	0
SWARM_11204	0	0	0	0	1	2	4	0	0	4	0	0	0	0
SWARM_4318	0	0	0	0	0	0	0	0	20	0	13	0	0	0
SWARM_4317	0	1	0	0	0	1	0	0	42	18	8	0	1	6
SWARM_4316	0	0	0	0	0	0	6	0	13	1	2	0	0	0
SWARM_5593	0	0	0	0	1	0	0	0	0	0	0	0	0	16
SWARM_5599	0	0	0	0	0	0	0	0	0	0	0	0	0	12
SWARM_2067	0	0	0	0	1	0	0	0	0	0	47	0	0	0
SWARM_2066	1	4	10	1	8	2	0	5	0	0	0	22	0	0
SWARM_2061	0	0	0	0	0	0	2	0	74	11	46	0	0	2
SWARM_2060	0	0	0	0	0	0	0	0	3	31	0	0	0	0
SWARM_2063	0	0	0	0	0	0	5	0	0	67	4	0	2	6
SWARM_2068	0	0	0	0	0	0	0	0	2	0	37	0	0	0
SWARM_8751	0	0	0	0	0	1	0	0	0	0	0	6	0	0
SWARM_8752	0	0	0	1	0	1	0	2	0	0	1	9	0	0
SWARM_8755	5	4	1	0	0	1	0	1	0	0	0	7	0	1
SWARM_8754	0	2	0	0	0	0	0	0	0	0	0	7	0	0
SWARM_8757	0	2	8	0	0	1	0	1	0	0	0	10	0	0
SWARM_8756	0	2	0	0	0	0	0	0	0	0	0	5	0	0
SWARM_4884	0	0	0	0	0	0	4	0	9	3	1	0	3	3
SWARM_220	1	136	77	0	3	0	0	8	0	3	0	0	0	0
SWARM_221	0	12	9	0	3	5	0	0	0	0	0	341	1	0
SWARM_222	0	1	9	43	190	0	0	0	2	0	1	0	3	0
SWARM_223	0	4	13	37	158	1	0	0	0	46	76	1	28	2
SWARM_224	0	8	4	2	82	26	7	4	37	118	92	0	39	33
SWARM_225	27	25	87	3	6	14	0	21	0	0	0	64	0	2
SWARM_226	4	35	99	61	117	115	4	39	0	4	4	4	5	7
SWARM_227	0	0	7	4	0	228	0	6	0	0	0	0	0	0
SWARM_228	0	0	1	0	0	2	9	0	743	122	156	0	10	32
SWARM_229	20	28	163	38	21	79	0	135	0	0	0	0	1	2
SWARM_9486	0	0	0	0	0	12	0	0	0	0	0	5	0	0
SWARM_5865	1	1	4	10	12	4	0	4	0	2	0	0	0	0
SWARM_12275	0	1	0	0	1	1	0	1	0	0	1	5	0	0
SWARM_4052	0	0	0	0	0	0	0	0	0	0	0	1	0	17
SWARM_4050	0	0	0	0	1	0	0	0	7	37	8	0	2	0
SWARM_1920	5	4	23	0	2	5	0	5	0	4	0	7	2	2
SWARM_1923	0	0	0	0	0	0	0	1	0	15	0	0	4	16
SWARM_1922	7	34	11	0	0	7	0	12	0	0	0	0	0	0
SWARM_1925	0	0	0	0	0	0	0	0	81	0	0	0	0	0
SWARM_1926	0	0	0	0	0	0	0	0	4	66	0	0	0	0
SWARM_3523	0	0	0	18	20	0	0	0	0	1	0	0	0	0
SWARM_3522	0	0	0	16	8	0	0	0	0	0	0	0	0	0
SWARM_3521	0	0	0	20	1	0	0	0	0	0	0	0	0	0
SWARM_4298	0	0	0	0	0	0	0	0	19	0	0	0	0	0
SWARM_4294	0	0	0	0	0	0	0	0	0	0	0	0	0	24
SWARM_4297	0	0	0	0	0	0	0	0	20	0	0	0	0	0
SWARM_2927	0	0	0	0	0	0	0	0	2	30	0	0	0	3
SWARM_2921	0	0	0	0	0	0	0	0	20	7	18	0	0	1
SWARM_2929	0	0	1	0	0	0	0	0	11	35	0	0	5	0
SWARM_875	0	0	86	1	13	17	0	23	0	0	0	1	1	0
SWARM_874	0	0	0	0	1	0	0	0	94	3	1	0	0	12
SWARM_876	1	0	3	8	3	89	0	8	0	0	0	0	0	0
SWARM_871	0	0	0	0	0	0	0	0	22	3	115	0	0	1
SWARM_870	0	0	0	0	0	0	0	0	0	0	0	0	0	83
SWARM_879	0	0	0	0	2	0	0	0	41	28	92	0	12	0
SWARM_878	0	0	0	0	0	0	0	0	27	28	22	0	3	0
SWARM_6833	0	0	0	0	0	0	0	0	0	0	0	0	0	12
SWARM_29	0	0	1	0	0	0	0	0	0	844	5	0	347	16
SWARM_28	0	1	2	0	21	56	6	9	13	18	1623	0	60	8
SWARM_21	0	1	5	0	44	1	0	0	2	245	926	0	219	1
SWARM_20	131	119	329	51	36	325	2	1123	0	21	0	1	13	9
SWARM_23	0	19	1284	107	47	270	0	62	0	1	0	0	0	0
SWARM_22	103	50	378	13	12	676	0	625	0	3	0	8	5	4
SWARM_25	0	10	10	2	55	22	87	0	293	474	2710	0	257	160
SWARM_24	1061	377	478	15	39	218	3	1006	0	3	0	23	11	22
SWARM_27	1	418	311	453	103	13	0	33	0	22	7	26	55	8
SWARM_26	7	348	230	11	24	703	0	262	0	10	2	8	14	42
